threshold,accuracy,precision,recall,f1
0.01,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.02,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.03,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.04,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.05,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.060000000000000005,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.06999999999999999,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.08,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.09,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.09999999999999999,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.11,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.12,0.04817261118450022,0.04817261118450022,1.0,0.09191732481935809
0.13,0.048436811977102597,0.04818534178999295,1.0,0.09194049920161358
0.14,0.04852487890797006,0.048189586820544444,1.0,0.09194822659270466
0.15000000000000002,0.04865697930427124,0.04819595576897661,1.0,0.09195982011515992
0.16,0.04892118009687362,0.04820869871766624,1.0,0.09198301593307269
0.17,0.049185380889476,0.04822144840657645,1.0,0.09200622345569993
0.18000000000000002,0.050066050198150594,0.04826399611770415,1.0,0.09208366651235218
0.19,0.05143108762659621,0.04833009365612299,1.0,0.09220396123050989
0.2,0.053500660501981503,0.04839066719794572,0.9990859232175503,0.09231029095055107
0.21000000000000002,0.05649493615147512,0.048536791154136505,0.9990859232175503,0.09257612332189896
0.22,0.06147071774548657,0.04878157636347407,0.9990859232175503,0.09302127659574468
0.23,0.06688683399383531,0.04892938905597702,0.9963436928702011,0.09327799409524624
0.24000000000000002,0.07261118450022017,0.04905370612945481,0.9926873857404022,0.09348771144492747
0.25,0.08044914134742404,0.04941026458399745,0.9917733089579525,0.09413091571595888
0.26,0.09026860413914575,0.04983434566537824,0.9899451553930531,0.09489179006396214
0.27,0.10035226772346983,0.050281408437601746,0.9881170018281535,0.09569335634931173
0.28,0.11087626596213122,0.050677583286278936,0.9844606946983546,0.096393090485993
0.29000000000000004,0.12338177014531043,0.05102138220694922,0.9771480804387569,0.09697904381747256
0.3,0.13619550858652577,0.05143604397733327,0.9707495429616088,0.09769559817855665
0.31,0.15028621752531923,0.05180479637563402,0.9616087751371115,0.09831316293631139
0.32,0.16530162923822106,0.052465423932651835,0.9570383912248629,0.09947743467933493
0.33,0.1814178775869661,0.05303494788473329,0.9488117001828154,0.10045485338236716
0.34,0.1950682518714223,0.0531461258450338,0.9341864716636198,0.1005707537886243
0.35000000000000003,0.2136944077498899,0.05377202789756695,0.923217550274223,0.10162499371132465
0.36000000000000004,0.22866578599735798,0.05398946282113953,0.9085923217550275,0.1019225839528326
0.37,0.2469837076177895,0.054197070127555286,0.8893967093235832,0.1021683204704153
0.38,0.26649053280493173,0.05521262002743484,0.8829981718464351,0.10392684238838086
